pincode,district,state,population,bio_txn,demo_txn,enroll_txn,total_txn,bio_has_any_record,demo_has_any_record,enroll_has_any_record,presence_flag,bio_share,demo_share,enroll_share,dominant_service_type,demand_diversity,presence_without_usage
110016,South West Delhi,Delhi,0.0,2320.0,1479.0,299.0,4098.0,1.0,1.0,1.0,True,0.5661298194241093,0.3609077598828697,0.07296242069302099,biometric,0.8018334329128515,False
110017,South Delhi,Delhi,0.0,9263.0,10802.0,1514.0,21579.0,1.0,1.0,1.0,True,0.4292599286343204,0.5005792668798369,0.07016080448584272,demographic,0.815421705350064,False
110018,West Delhi,Delhi,0.0,16145.0,31488.0,3351.0,50984.0,1.0,1.0,1.0,True,0.3166679742664365,0.6176055233014279,0.06572650243213557,demographic,0.7652276806323791,False
110019,South Delhi,Delhi,0.0,12575.0,18735.0,797.0,32107.0,1.0,1.0,1.0,True,0.39165913975145605,0.5835176129815928,0.02482324726695113,demographic,0.703799393811455,False
110020,South Delhi,Delhi,0.0,8960.0,3616.0,416.0,12992.0,1.0,1.0,1.0,True,0.6896551724137931,0.27832512315270935,0.03201970443349754,biometric,0.6575674190226513,False
110021,South West Delhi,Delhi,0.0,3028.0,1741.0,285.0,5054.0,1.0,1.0,1.0,True,0.5991294024535022,0.3444796201028888,0.05639097744360902,biometric,0.7611318226178406,False
110022,South West Delhi,Delhi,0.0,3941.0,2625.0,223.0,6789.0,1.0,1.0,1.0,True,0.5804978641920754,0.3866548828988069,0.03284725290911769,biometric,0.723936616735857,False
110023,South West Delhi,Delhi,0.0,2808.0,1757.0,147.0,4712.0,1.0,1.0,1.0,True,0.5959252971137521,0.37287775891341257,0.031196943972835314,biometric,0.7140769980150438,False
110024,South Delhi,Delhi,15158.25,2224.0,1673.0,351.0,4248.0,1.0,1.0,1.0,True,0.5235404896421846,0.3938323917137476,0.0826271186440678,biometric,0.8299680884189405,False
110025,South East Delhi,Delhi,10996.0,17176.0,22988.0,1344.0,41508.0,1.0,1.0,1.0,True,0.41379974944588993,0.5538209501782789,0.032379300375831165,demographic,0.7313361479237986,False
110026,West Delhi,Delhi,0.0,2261.0,1287.0,134.0,3682.0,1.0,1.0,1.0,True,0.6140684410646388,0.34953829440521456,0.03639326453014666,biometric,0.7167666382270829,False
110027,West Delhi,Delhi,0.0,12914.0,14628.0,1133.0,28675.0,1.0,1.0,1.0,True,0.450357454228422,0.5101307759372276,0.03951176983435048,demographic,0.7557607096308218,False
110028,South West Delhi,Delhi,0.0,3966.0,2936.0,168.0,7070.0,1.0,1.0,1.0,True,0.560961810466761,0.41527581329561525,0.023762376237623763,biometric,0.7082625406839184,False
110029,South West Delhi,Delhi,0.0,1386.0,1134.0,192.0,2712.0,1.0,1.0,1.0,True,0.5110619469026548,0.41814159292035397,0.07079646017699115,biometric,0.8147690661020897,False
110030,South West Delhi,Delhi,75105.08333333333,14096.0,8334.0,969.0,23399.0,1.0,1.0,1.0,True,0.6024189067908885,0.35616906705414764,0.04141202615496389,biometric,0.7326167781522144,False
110031,East Delhi,Delhi,1756.0,14492.0,15039.0,637.0,30168.0,1.0,1.0,1.0,True,0.4803765579421904,0.498508353221957,0.021115088835852558,demographic,0.7106156270841887,False
110032,East Delhi,Delhi,55245.333333333336,26657.0,19662.0,2375.0,48694.0,1.0,1.0,1.0,True,0.5474391095412166,0.4037869141988746,0.04877397625990882,biometric,0.767641459506552,False
110033,North West Delhi,Delhi,0.0,29871.0,23835.0,1084.0,54790.0,1.0,1.0,1.0,True,0.5451907282350794,0.43502463953276144,0.019784632232159153,biometric,0.7012750674096035,False
110034,North West Delhi,Delhi,0.0,14132.0,23069.0,2415.0,39616.0,1.0,1.0,1.0,True,0.35672455573505657,0.582315226171244,0.06096021809369952,demographic,0.7765523394245081,False
110035,North West Delhi,Delhi,0.0,8404.0,10120.0,355.0,18879.0,1.0,1.0,1.0,True,0.4451506965411304,0.5360453413846072,0.01880396207426241,demographic,0.7001963020191174,False
110036,North West Delhi,Delhi,163661.16666666666,12178.0,7933.0,554.0,20665.0,1.0,1.0,1.0,True,0.5893055891604162,0.38388579724171307,0.026808613597870797,biometric,0.7065170609591762,False
110037,South West Delhi,Delhi,35370.166666666664,9390.0,11940.0,1233.0,22563.0,1.0,1.0,1.0,True,0.41616806275761203,0.5291849488099987,0.05464698843238931,demographic,0.7832372729568543,False
110038,South West Delhi,Delhi,28545.5,1752.0,955.0,64.0,2771.0,1.0,1.0,1.0,True,0.632262721039336,0.34464092385420425,0.02309635510645976,biometric,0.6772356847260852,False
110039,North West Delhi,Delhi,192521.91666666666,21362.0,14417.0,1456.0,37235.0,1.0,1.0,1.0,True,0.5737075332348597,0.38718947227071304,0.039102994494427286,biometric,0.7399408751717073,False
110040,North West Delhi,Delhi,80292.25,16300.0,18513.0,2259.0,37072.0,1.0,1.0,1.0,True,0.4396849374190764,0.49937958567112645,0.06093547690979715,demographic,0.7996862172325813,False
110041,West Delhi,Delhi,597263.9166666666,40134.0,43556.0,3115.0,86805.0,1.0,1.0,1.0,True,0.4623466390184897,0.5017683313173205,0.03588502966418985,demographic,0.7483129633072126,False
110042,North West Delhi,Delhi,611057.5,38343.0,32914.0,1717.0,72974.0,1.0,1.0,1.0,True,0.5254337161180694,0.45103735577054843,0.023528928111382137,biometric,0.7149688378251534,False
110043,South West Delhi,Delhi,415028.3333333333,39070.0,32146.0,1744.0,72960.0,1.0,1.0,1.0,True,0.5354989035087719,0.44059758771929824,0.023903508771929826,biometric,0.7143763098969311,False
110044,South Delhi,Delhi,398963.0833333333,47407.0,38676.0,2165.0,88248.0,1.0,1.0,1.0,True,0.5372019762487535,0.43826488985586076,0.02453313389538573,biometric,0.7157284429221298,False
110045,South West Delhi,Delhi,0.0,23033.0,28186.0,3040.0,54259.0,1.0,1.0,1.0,True,0.42450100444165945,0.5194714240955417,0.0560275714627988,demographic,0.7877399059155,False
110046,South West Delhi,Delhi,0.0,11029.0,10416.0,407.0,21852.0,1.0,1.0,1.0,True,0.5047135273659161,0.47666117517847334,0.018625297455610472,biometric,0.7031377807738729,False
110047,South Delhi,Delhi,90167.16666666667,9607.0,4502.0,327.0,14436.0,1.0,1.0,1.0,True,0.665489055139928,0.31185924078692157,0.022651704073150456,biometric,0.6555382521135232,False
110048,South Delhi,Delhi,0.0,2487.0,1639.0,246.0,4372.0,1.0,1.0,1.0,True,0.568847209515096,0.37488563586459284,0.05626715462031107,biometric,0.7742871740669179,False
110049,South Delhi,Delhi,0.0,2669.0,2084.0,215.0,4968.0,1.0,1.0,1.0,True,0.5372383252818036,0.4194847020933977,0.04327697262479871,biometric,0.7592370272632362,False
110051,East Delhi,Delhi,0.0,12444.0,14714.0,936.0,28094.0,1.0,1.0,1.0,True,0.4429415533565886,0.5237417242115754,0.03331672243183598,demographic,0.7398076851793957,False
110052,North West Delhi,Delhi,0.0,14248.0,19210.0,642.0,34100.0,1.0,1.0,1.0,True,0.4178299120234604,0.5633431085043988,0.01882697947214076,demographic,0.6942443267597321,False
110053,East Delhi,Delhi,127254.91666666667,54334.0,38456.0,4119.0,96909.0,1.0,1.0,1.0,True,0.5606703195781609,0.39682588820439796,0.042503792217441105,biometric,0.7513292338047385,False
110054,North Delhi,Delhi,0.0,5202.0,2844.0,367.0,8413.0,1.0,1.0,1.0,True,0.6183287768929039,0.3380482586473315,0.04362296445976465,biometric,0.7286671865926121,False
110055,Central Delhi,Delhi,0.0,8260.0,7684.0,966.0,16910.0,1.0,1.0,1.0,True,0.488468361916026,0.45440567711413365,0.05712596096984033,biometric,0.7936559859462422,False
110056,North West Delhi,Delhi,0.0,742.0,350.0,35.0,1127.0,1.0,1.0,1.0,True,0.6583850931677019,0.3105590062111801,0.031055900621118012,biometric,0.6791923497640318,False
110057,South West Delhi,Delhi,25385.166666666668,2739.0,2540.0,234.0,5513.0,1.0,1.0,1.0,True,0.4968256847451478,0.4607291855614003,0.04244512969345184,biometric,0.763403503841775,False
110058,West Delhi,Delhi,0.0,3981.0,3112.0,214.0,7307.0,1.0,1.0,1.0,True,0.5448200355823183,0.42589297933488435,0.02928698508279732,biometric,0.7261873308101379,False
110059,West Delhi,Delhi,263684.9166666667,61603.0,85778.0,11153.0,158534.0,1.0,1.0,1.0,True,0.38857910605926804,0.5410700543731944,0.07035083956753756,demographic,0.8068050296137936,False
110060,Central Delhi,Delhi,0.0,833.0,665.0,61.0,1559.0,1.0,1.0,1.0,True,0.5343168697883258,0.42655548428479795,0.0391276459268762,biometric,0.7510678032483239,False
110061,South West Delhi,Delhi,6190.666666666667,2728.0,1872.0,594.0,5194.0,1.0,1.0,1.0,True,0.5252214093184444,0.36041586445899115,0.11436272622256449,biometric,0.8683625003122145,False
110062,South Delhi,Delhi,0.0,47043.0,42801.0,2987.0,92831.0,1.0,1.0,1.0,True,0.5067595953937801,0.46106365330546906,0.032176751300750824,biometric,0.7391087752508242,False
110063,West Delhi,Delhi,0.0,8539.0,11230.0,456.0,20225.0,1.0,1.0,1.0,True,0.4222002472187886,0.5552533992583436,0.022546353522867737,demographic,0.7065508497251358,False
110064,South West Delhi,Delhi,0.0,4386.0,3829.0,198.0,8413.0,1.0,1.0,1.0,True,0.5213360275763699,0.45512896707476524,0.02353500534886485,biometric,0.7155232049210842,False
110065,South Delhi,Delhi,0.0,4855.0,4394.0,752.0,10001.0,1.0,1.0,1.0,True,0.4854514548545146,0.4393560643935606,0.0751924807519248,biometric,0.8253559997413223,False
110066,South West Delhi,Delhi,0.0,1277.0,574.0,61.0,1912.0,1.0,1.0,1.0,True,0.6678870292887029,0.3002092050209205,0.03190376569037657,biometric,0.6742390604175484,False
110067,South West Delhi,Delhi,0.0,1710.0,1820.0,163.0,3693.0,1.0,1.0,1.0,True,0.46303818034118605,0.4928242621175196,0.044137557541294344,demographic,0.7673014650002686,False
110068,South Delhi,Delhi,56518.916666666664,3083.0,3423.0,243.0,6749.0,1.0,1.0,1.0,True,0.45680841606163874,0.5071862498147873,0.03600533412357386,demographic,0.748132311519756,False
110069,Central Delhi,Delhi,0.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,True,1.0,0.0,0.0,biometric,-0.0,False
110070,South West Delhi,Delhi,0.0,4494.0,7438.0,646.0,12578.0,1.0,1.0,1.0,True,0.3572905072348545,0.5913499761488313,0.0513595166163142,demographic,0.756291540801162,False
110071,South West Delhi,Delhi,69538.33333333333,4059.0,4726.0,330.0,9115.0,1.0,1.0,1.0,True,0.44530992868897423,0.5184860120680197,0.036204059243006036,demographic,0.7472687860967177,False
110072,South West Delhi,Delhi,29186.5,1849.0,1159.0,103.0,3111.0,1.0,1.0,1.0,True,0.5943426550948249,0.37254901960784315,0.03310832529733205,biometric,0.7190145067707252,False
110073,South West Delhi,Delhi,72218.58333333333,3945.0,1460.0,126.0,5531.0,1.0,1.0,1.0,True,0.7132525763876333,0.2639667329596818,0.022780690652684867,biometric,0.6178347447173632,False
110074,South Delhi,Delhi,151853.91666666666,12867.0,13011.0,1001.0,26879.0,1.0,1.0,1.0,True,0.47870084452546596,0.4840581866884929,0.03724096878604115,demographic,0.7522155252424495,False
110075,South West Delhi,Delhi,0.0,5459.0,9459.0,331.0,15249.0,1.0,1.0,1.0,True,0.35799068791396155,0.6203029706866025,0.02170634139943603,demographic,0.6800468910606717,False
110076,South Delhi,Delhi,176763.33333333334,10337.0,9252.0,612.0,20201.0,1.0,1.0,1.0,True,0.5117073412207317,0.45799712885500715,0.030295529924261176,biometric,0.7340420937922254,False
110077,South West Delhi,Delhi,0.0,5463.0,12795.0,647.0,18905.0,1.0,1.0,1.0,True,0.28897117164771224,0.6768050780216874,0.03422375033060037,demographic,0.6721591109036221,False
110078,South West Delhi,Delhi,0.0,7666.0,13160.0,561.0,21387.0,1.0,1.0,1.0,True,0.35844204423247766,0.6153270678449525,0.026230887922569786,demographic,0.6936595140300089,False
110080,South Delhi,Delhi,322151.9166666667,4333.0,4986.0,367.0,9686.0,1.0,1.0,1.0,True,0.4473466859384679,0.5147635762956845,0.037889737765847614,demographic,0.7515833430761972,False
110081,North West Delhi,Delhi,209319.16666666666,16411.0,13319.0,661.0,30391.0,1.0,1.0,1.0,True,0.539995393373038,0.4382547464709947,0.021749860155967228,biometric,0.707751392694476,False
110082,North West Delhi,Delhi,89551.66666666667,6972.0,2330.0,278.0,9580.0,1.0,1.0,1.0,True,0.7277661795407098,0.24321503131524008,0.029018789144050105,biometric,0.6170028978542625,False
110083,North West Delhi,Delhi,137.75,16030.0,11484.0,573.0,28087.0,1.0,1.0,1.0,True,0.5707266707017481,0.4088724320860184,0.020400897212233416,biometric,0.6964867687878764,False
110084,North Delhi,Delhi,88767.66666666667,24907.0,32282.0,1559.0,58748.0,1.0,1.0,1.0,True,0.42396336896575204,0.5494995574317424,0.026537073602505616,demographic,0.718293908185538,False
110085,North West Delhi,Delhi,7959.25,28244.0,35040.0,2972.0,66256.0,1.0,1.0,1.0,True,0.4262859212750543,0.528857763825163,0.04485631489978266,demographic,0.7642540667146286,False
110086,North West Delhi,Delhi,848122.4166666666,70958.0,62051.0,3296.0,136305.0,1.0,1.0,1.0,True,0.5205825171490408,0.4552364183265471,0.024181064524412165,biometric,0.7173497628517469,False
110087,West Delhi,Delhi,0.0,5619.0,5529.0,231.0,11379.0,1.0,1.0,1.0,True,0.49380437648299497,0.48589506986554176,0.020300553651463223,biometric,0.7083941358769151,False
110088,North West Delhi,Delhi,0.0,9760.0,8573.0,422.0,18755.0,1.0,1.0,1.0,True,0.52039456145028,0.4571047720607838,0.022500666488936283,biometric,0.7128251237335457,False
110089,North West Delhi,Delhi,0.0,5014.0,6481.0,236.0,11731.0,1.0,1.0,1.0,True,0.42741454266473444,0.5524678203051743,0.02011763703009121,demographic,0.7006091149926393,False
110090,North East Delhi,Delhi,584943.0,301.0,71.0,14.0,386.0,1.0,1.0,1.0,True,0.7797927461139896,0.18393782383419688,0.03626943005181347,biometric,0.5695266880689145,False
110091,East Delhi,Delhi,0.0,27084.0,26814.0,2448.0,56346.0,1.0,1.0,1.0,True,0.4806729847726547,0.4758811628154616,0.04344585241188372,biometric,0.766208007163208,False
110092,East Delhi,Delhi,0.0,29344.0,40992.0,4946.0,75282.0,1.0,1.0,1.0,True,0.3897877314630323,0.5445126325017933,0.06569963603517441,demographic,0.7983774377866947,False
110093,Shahdara,Delhi,393325.8333333333,36062.0,27122.0,1680.0,64864.0,1.0,1.0,1.0,True,0.5559632461766156,0.4181364084854465,0.02590034533793784,biometric,0.7150837998371904,False
110094,North West Delhi,Delhi,503278.5,85793.0,71866.0,8822.0,166481.0,1.0,1.0,1.0,True,0.5153320799370499,0.43167688805329135,0.05299103200965876,biometric,0.7827571233257762,False
110095,East Delhi,Delhi,0.0,19851.0,13810.0,1395.0,35056.0,1.0,1.0,1.0,True,0.5662654039251483,0.3939411227749886,0.039793473299863075,biometric,0.743942551280561,False
110096,East Delhi,Delhi,567239.4166666666,20029.0,33308.0,1019.0,54356.0,1.0,1.0,1.0,True,0.3684781808815954,0.6127750386341895,0.018746780484215173,demographic,0.6758899509557881,False
121001,Faridabad,Gujrat,0.0,18447.0,19880.0,3215.0,41542.0,1.0,1.0,1.0,True,0.44405661739925856,0.4785518270665832,0.0773915555341582,demographic,0.829419432297161,False
121002,Faridabad,Gujrat,12279.333333333334,9094.0,15799.0,1519.0,26412.0,1.0,1.0,1.0,True,0.3443131909737998,0.5981750719369984,0.057511737089201875,demographic,0.7634479898491696,False
121003,Faridabad,Gujrat,0.0,11898.0,14313.0,1734.0,27945.0,1.0,1.0,1.0,True,0.42576489533011275,0.5121846484165324,0.062050456253354806,demographic,0.799847915774263,False
121004,Faridabad,Gujrat,163017.25,40053.0,45409.0,8428.0,93890.0,1.0,1.0,1.0,True,0.42659495153903504,0.4836404302907658,0.08976461817019916,demographic,0.8475521991366062,False
121005,Faridabad,Gujrat,0.0,13318.0,13676.0,853.0,27847.0,1.0,1.0,1.0,True,0.47825618558552085,0.49111214852587354,0.030631665888605594,demographic,0.7361657756146306,False
121006,Faridabad,Gujrat,0.0,4020.0,4000.0,230.0,8250.0,1.0,1.0,1.0,True,0.48727272727272725,0.48484848484848486,0.027878787878787878,biometric,0.7292013256965215,False
121007,Faridabad,Gujrat,0.0,1390.0,918.0,106.0,2414.0,1.0,1.0,1.0,True,0.575807787903894,0.38028169014084506,0.043910521955260975,biometric,0.7489035599478743,False
121008,Faridabad,Gujrat,0.0,1155.0,768.0,63.0,1986.0,1.0,1.0,1.0,True,0.581570996978852,0.3867069486404834,0.03172205438066465,biometric,0.7209957028247905,False
121009,Faridabad,Gujrat,0.0,1583.0,1391.0,140.0,3114.0,1.0,1.0,1.0,True,0.5083493898522801,0.44669235709698135,0.0449582530507386,biometric,0.7676833961267876,False
121010,Faridabad,Gujrat,0.0,1143.0,1169.0,93.0,2405.0,1.0,1.0,1.0,True,0.4752598752598753,0.4860706860706861,0.03866943866943867,demographic,0.7554758299251649,False
121012,Faridabad,Gujrat,0.0,285.0,139.0,15.0,439.0,1.0,1.0,1.0,True,0.6492027334851936,0.31662870159453305,0.03416856492027335,biometric,0.6917469706875875,False
121013,Faridabad,Gujrat,0.0,2381.0,1305.0,168.0,3854.0,1.0,1.0,1.0,True,0.6177996886351842,0.33860923715620134,0.043591074208614425,biometric,0.7288979124939561,False
121014,Faridabad,Gujrat,0.0,95.0,68.0,5.0,168.0,1.0,1.0,1.0,True,0.5654761904761905,0.40476190476190477,0.02976190476190476,biometric,0.7218735101081095,False
121101,Faridabad,Gujrat,67461.5,6519.0,4260.0,322.0,11101.0,1.0,1.0,1.0,True,0.5872443923970814,0.38374921178272225,0.02900639582019638,biometric,0.7125626318679311,False
121102,Faridabad,Gujrat,218947.0,24340.0,20163.0,1969.0,46472.0,1.0,1.0,1.0,True,0.5237562403167498,0.4338741607849888,0.04236959889826132,biometric,0.7600111382549534,False
121103,Palwal,Gujrat,105292.41666666667,12259.0,8132.0,1411.0,21802.0,1.0,1.0,1.0,True,0.5622878634987616,0.3729933033666636,0.06471883313457481,biometric,0.7907770450203214,False
121105,Palwal,Gujrat,79878.33333333333,6313.0,4497.0,560.0,11370.0,1.0,1.0,1.0,True,0.5552330694810906,0.3955145118733509,0.04925241864555849,biometric,0.7662726382461856,False
121106,Palwal,Gujrat,58747.833333333336,7938.0,9951.0,726.0,18615.0,1.0,1.0,1.0,True,0.4264302981466559,0.5345688960515713,0.039000805801772766,demographic,0.7507400609495025,False
121107,Palwal,Gujrat,48262.0,5899.0,4695.0,458.0,11052.0,1.0,1.0,1.0,True,0.5337495475931958,0.4248099891422367,0.0414404632645675,biometric,0.7561487433776052,False
121705,Azamgarh,Uttar Pradesh,0.0,2116.0,2207.0,219.0,4542.0,1.0,1.0,1.0,True,0.4658740642888595,0.4859092910612065,0.04821664464993395,demographic,0.7762023697527354,False
122001,Gurgaon,Gujrat,13859.166666666666,17485.0,37398.0,4722.0,59605.0,1.0,1.0,1.0,True,0.29334787350054525,0.6274305846824931,0.07922154181696166,demographic,0.7765130770494695,False
122002,Gurgaon,Gujrat,0.0,2355.0,6218.0,745.0,9318.0,1.0,1.0,1.0,True,0.2527366387636832,0.6673105816698862,0.07995277956643057,demographic,0.7459674228410841,False
122003,Gurgaon,Gujrat,13780.083333333334,2050.0,3698.0,224.0,5972.0,1.0,1.0,1.0,True,0.34326858673811117,0.6192230408573343,0.03750837240455459,demographic,0.7163324469973491,False
122004,Gurgaon,Gujrat,35480.666666666664,3087.0,6946.0,535.0,10568.0,1.0,1.0,1.0,True,0.292108251324754,0.6572672218016654,0.05062452687358062,demographic,0.7157559928896889,False
122005,Gurgaon,Gujrat,0.0,127.0,55.0,8.0,190.0,1.0,1.0,1.0,True,0.6684210526315789,0.2894736842105263,0.042105263157894736,biometric,0.693142170552714,False
122006,Gurgaon,Gujrat,0.0,1720.0,2678.0,162.0,4560.0,1.0,1.0,1.0,True,0.37719298245614036,0.587280701754386,0.035526315789473684,demographic,0.7272014980910262,False
122007,Gurgaon,Gujrat,0.0,63.0,23.0,1.0,87.0,1.0,1.0,1.0,True,0.7241379310344828,0.26436781609195403,0.011494252873563218,biometric,0.5796251855385265,False
122008,Gurgaon,Gujrat,0.0,142.0,74.0,10.0,226.0,1.0,1.0,1.0,True,0.6283185840707964,0.3274336283185841,0.04424778761061947,biometric,0.7241106090007159,False
122009,Gurgaon,Gujrat,0.0,830.0,837.0,71.0,1738.0,1.0,1.0,1.0,True,0.47756041426927504,0.4815880322209436,0.040851553509781355,demographic,0.7604717750757016,False
122010,Gurgaon,Gujrat,0.0,220.0,106.0,8.0,334.0,1.0,1.0,1.0,True,0.6586826347305389,0.31736526946107785,0.023952095808383235,biometric,0.663229066116687,False
122011,Gurgaon,Gujrat,0.0,1109.0,1307.0,100.0,2516.0,1.0,1.0,1.0,True,0.4407790143084261,0.5194753577106518,0.0397456279809221,demographic,0.755047225660533,False
122015,Gurgaon,Gujrat,0.0,740.0,480.0,57.0,1277.0,1.0,1.0,1.0,True,0.5794831636648394,0.37588097102584184,0.04463586530931871,biometric,0.7489015969725858,False
122016,Gurgaon,Gujrat,0.0,591.0,251.0,31.0,873.0,1.0,1.0,1.0,True,0.6769759450171822,0.28751431844215347,0.035509736540664374,biometric,0.6744989268550136,False
122017,Gurgaon,Gujrat,0.0,3130.0,6798.0,265.0,10193.0,1.0,1.0,1.0,True,0.30707348180123617,0.6669282841165506,0.025998234082213283,demographic,0.662283530259326,False
122018,Gurgaon,Gujrat,0.0,1921.0,4225.0,201.0,6347.0,1.0,1.0,1.0,True,0.3026626752796597,0.6656688199149204,0.031668504805419884,demographic,0.6753603065517069,False
122051,Gurgaon,Gujrat,0.0,953.0,591.0,71.0,1615.0,1.0,1.0,1.0,True,0.590092879256966,0.36594427244582045,0.04396284829721362,biometric,0.7432028267302633,False
122052,Gurgaon,Gujrat,0.0,343.0,157.0,12.0,512.0,1.0,1.0,1.0,True,0.669921875,0.306640625,0.0234375,biometric,0.6542899001165511,False
122098,Gurgaon,Gujrat,0.0,81.0,62.0,6.0,149.0,1.0,1.0,1.0,True,0.5436241610738255,0.4161073825503356,0.040268456375838924,biometric,0.7514344277349135,False
122101,Gurgaon,Gujrat,18057.833333333332,3549.0,6218.0,293.0,10060.0,1.0,1.0,1.0,True,0.35278330019880716,0.6180914512922465,0.029125248508946322,demographic,0.699001892350093,False
122102,Gurgaon,Gujrat,29258.833333333332,3558.0,5186.0,324.0,9068.0,1.0,1.0,1.0,True,0.39236876929863257,0.5719011910013233,0.03573003970004411,demographic,0.7333779227069377,False
122103,Gurgaon,Gujrat,128381.33333333333,10590.0,8644.0,1375.0,20609.0,1.0,1.0,1.0,True,0.5138531709447329,0.41942840506574797,0.06671842398951915,biometric,0.8075489434739335,False
122104,Mewat,Gujrat,80379.16666666667,9021.0,5500.0,795.0,15316.0,1.0,1.0,1.0,True,0.5889919038913555,0.3591015931052494,0.051906503003395145,biometric,0.7583276838408861,False
122105,Gurgaon,Gujrat,84653.41666666667,9650.0,8893.0,627.0,19170.0,1.0,1.0,1.0,True,0.5033907146583203,0.4639019300991132,0.03270735524256651,biometric,0.7406622729890231,False
122107,Rewari,Gujrat,143372.66666666666,12755.0,10000.0,1246.0,24001.0,1.0,1.0,1.0,True,0.5314361901587434,0.41664930627890506,0.05191450356235157,biometric,0.7776275789008816,False
122108,Mewat,Gujrat,125757.58333333333,9419.0,8526.0,1426.0,19371.0,1.0,1.0,1.0,True,0.48624232099530224,0.44014248102834136,0.0736151979763564,biometric,0.8227333969033206,False
122413,Gurgaon,Gujrat,21111.75,2733.0,1219.0,159.0,4111.0,1.0,1.0,1.0,True,0.6648017513986865,0.2965215276088543,0.03867672099245926,biometric,0.6896655139180069,False
122414,Gurgaon,Gujrat,29857.666666666668,2360.0,740.0,109.0,3209.0,1.0,1.0,1.0,True,0.7354315986288563,0.2306014334683702,0.03396696790277345,biometric,0.6182275465958097,False
122502,Rewari,Gujrat,48231.0,2220.0,846.0,120.0,3186.0,1.0,1.0,1.0,True,0.696798493408663,0.2655367231638418,0.03766478342749529,biometric,0.662045155822463,False
122503,Gurgaon,Gujrat,37613.833333333336,4222.0,2011.0,221.0,6454.0,1.0,1.0,1.0,True,0.6541679578555935,0.31158971180663153,0.034242330337775025,biometric,0.6885973577380912,False
122504,Gurgaon,Gujrat,9441.75,2040.0,1185.0,158.0,3383.0,1.0,1.0,1.0,True,0.6030150753768844,0.3502808158439255,0.04670410877919007,biometric,0.742356829031251,False
122505,Gurgaon,Gujrat,36579.75,3164.0,5845.0,314.0,9323.0,1.0,1.0,1.0,True,0.33937573742357613,0.6269441167006329,0.03368014587579105,demographic,0.7042235080436611,False
